,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,ID,description,input_string,number_of_results,status
0,"Nea Smyrni, Greece",37.9442881,23.7117556,APPROXIMATE,ChIJvXOxxEy8oRQRl3mevrHaz1U,"locality,political",,5,"Eπίθεση σε πολίτη με δίκυκλο, άγρια σύλληψη, ξυλοδαρμός πολίτη και παρεμπόδιση δημοσιογράφων",Νέα Σμύρνη,1,OK
1,"Omonoia, Athens, Athens 104 31, Greece",37.9840406,23.7280318,APPROXIMATE,ChIJyW8XBDC9oRQRlUEiC4dd98s,"neighborhood,political",104 31,13,Σύρσιμο γυναίκας με ειδικές ανάγκες έξω από το τμήμα και βρέξιμο της με μάνικα,Ομόνοια,1,OK
2,"Lesbos, Greece",39.2645095,26.2777073,APPROXIMATE,ChIJ9x8-96OSuhQRjU4uyhIxkqI,"establishment,natural_feature",,17,Σπάσιμο αυτοκινήτων,Λέσβος,2,OK
3,"Chios 821 00, Greece",38.3709813,26.1363457,APPROXIMATE,ChIJgYulANlluxQR3xebdBqPuN8,"locality,political",821 00,18,Σπάσιμο περισσότερων αυτοκινήτων,Χίος,1,OK
4,"Volos, Greece",39.366584,22.9506769,APPROXIMATE,ChIJ8Wyv4WBspxQR4qoZAjmObl0,"locality,political",,20,Άγριος ξυλοδαρμός άνδρα,Βόλος,1,OK
5,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,21,Ρίψη μολότοφ,,1,OK
6,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,22,Εξώθηση άνδρα από πολυκατοικία,,1,OK
7,"Thessaloniki 541 24, Greece",40.6308283,22.9592224,GEOMETRIC_CENTER,ChIJyZInQ_84qBQR6cjmwx3-7hU,"establishment,point_of_interest,university",541 24,23,Επίθεση σε δημοσιογράφους,ΑΠΘ,1,OK
8,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,24,Επίθεση σε φοιτητές,,1,OK
9,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,25,Τάκλιν και κλωτσιά σε πεσμένη κοπέλα,,1,OK
10,"Nea Smyrni, Greece",37.9442881,23.7117556,APPROXIMATE,ChIJvXOxxEy8oRQRl3mevrHaz1U,"locality,political",,26,Κλωτσιές σε κορίτσι,Νέα Σμύρνη,1,OK
11,"Nea Smyrni, Greece",37.9442881,23.7117556,APPROXIMATE,ChIJvXOxxEy8oRQRl3mevrHaz1U,"locality,political",,27,Επίθεση με μηχανάκι σε άνδρα και έναντι δημοσιογράφων,Νέα Σμύρνη,1,OK
